site lat     lon      dep
site lat     lon      dep  type
KAMN  38.888  143.362  0    JCG
KAMS  38.636  143.263  0    JCG
MYGW  38.151  142.433  0    JCG
MYGI  38.082  142.916  0    JCG
FUKU  37.166  142.083  0    JCG
CHOS  35.503  141.669  0    JCG
BOSN  34.746  140.500  0    JCG
SAGA  34.962  139.263  0    JCG
TOK1  34.084  138.133  0    JCG
TOK2  33.877  137.595  0    JCG
TOK3  34.181  137.386  0    JCG
ZENW  33.100  137.550  0    JCG
KUM1  33.670  136.996  0    JCG
KUM2  33.433  136.667  0    JCG
KUM3  33.334  136.333  0    JCG
KUM4  33.067  136.633  0    JCG
SIOW  33.160  135.572  0    JCG
SIO2  32.983  135.983  0    JCG
MRT1  33.350  134.944  0    JCG
MRT2  32.871  134.814  0    JCG
MRT3  32.802  135.350  0    JCG
MRT4  32.423  134.406  0    JCG
TOS1  32.817  133.667  0    JCG
TOS2  32.428  134.031  0    JCG
TOS3  32.119  134.087  0    JCG
ASZ1  32.368  133.219  0    JCG
ASZ2  31.931  133.576  0    JCG
ASZ3  32.030  133.207  0    JCG
HYG1  32.383  132.417  0    JCG
HYG2  31.974  132.495  0    JCG
HYG3  31.634  132.203  0    JCG
UT01  33.081  135.260  0    UTokyo-JCG
UT02  32.775  134.375  0    UTokyo-JCG
OHTM  23.667  123.813  0    ShizuU
OMYK  23.996  125.679  0    ShizuU
G01   38.697  144.954  0    TohokuU/JCG
G02   40.737  144.047  0    TohokuU/JCG
G03   40.126  143.967  0    TohokuU/JCG
G04   39.566  143.897  0    TohokuU/JCG
G05   39.326  143.317  0    TohokuU/JCG
G06   39.303  143.850  0    TohokuU/JCG
G07   38.943  143.940  0    TohokuU/JCG
G08   38.721  143.647  0    TohokuU/JCG
G09   38.481  143.792  0    TohokuU/JCG
G10   38.302  143.483  0    TohokuU/JCG
G11   38.267  143.802  0    TohokuU/JCG
G12   38.021  143.532  0    TohokuU/JCG
G13   37.933  143.199  0    TohokuU/JCG
G14   37.892  142.775  0    TohokuU/JCG
G15   37.677  143.521  0    TohokuU/JCG
G16   37.334  143.048  0    TohokuU/JCG
G17   36.899  142.715  0    TohokuU/JCG
G18   36.616  141.983  0    TohokuU/JCG
G19   36.496  142.671  0    TohokuU/JCG
G20   36.158  142.083  0    TohokuU/JCG
G21   42.636  145.960  0    TohokuU/JCG
G22   42.089  146.126  0    HokkaidoU-TohokuU/JCG
G24   39.591  143.434  0    TohokuU/JCG
G25   40.694  143.519  0    TohokuU
G26   35.728  142.047  0    TohokuU/JCG
G27   34.947  141.895  0    TohokuU
G28   41.630  144.287  0    HokkaidoU-TohokuU
G29   41.481  145.060  0    TohokuU
SSW   34.600  138.540  0    NagoyaU
SSE   34.653  138.632  0    NagoyaU
KMN   33.726  136.508  0    NagoyaU
KMC   33.642  136.558  0    NagoyaU
KMS   33.577  136.612  0    NagoyaU
TCA   33.219  137.001  0    NagoyaU
TOA   32.829  137.174  0    NagoyaU
RKB   25.900  128.258  0    URyukyu-NagoyaU
RKC   24.931  127.481  0    NagoyaU
RKD   24.462  126.991  0    NagoyaU
GMTB  33.543  137.387  0    NagoyaU
SNE2  34.935  138.681  0    NagoyaU
