site,lat,lon,dep,type
えりも ERM,42.0178,143.1417,0,験潮
三陸沖１,39.2312,142.7684,0,津波計
三陸沖２,39.2489,142.4411,0,津波計
相模１,34.5954,139.9198,0,津波観測
相模２,34.8112,139.6035,0,津波観測
相模３,35.0713,139.3907,0,津波観測
ＤＯＮＥＴＡ3津波計,33.6484,136.6037,0,津波計
ＤＯＮＥＴＡ2津波計,33.7524,136.6488,0,津波計
ＤＯＮＥＴＡ4津波計,33.6781,136.4674,0,津波計
ＤＯＮＥＴD16津波計,33.3045,136.5958,0,津波計
ＤＯＮＥＴE17津波計,33.485,136.4451,0,津波計
ＤＯＮＥＴB6津波計,33.3584,136.9216,0,津波計
ＤＯＮＥＴB8津波計,33.4664,136.8039,0,津波計
ＤＯＮＥＴE18津波計,33.386,136.3828,0,津波計
ＤＯＮＥＴB5津波計,33.4772,136.9264,0,津波計
ＤＯＮＥＴC9津波計,33.0584,136.8313,0,津波計
ＤＯＮＥＴD14津波計,33.1727,136.577,0,津波計
ＤＯＮＥＴＡ1津波計,33.8048,136.557,0,津波計
ＤＯＮＥＴB7津波計,33.3613,136.8072,0,津波計
ＤＯＮＥＴD13津波計,33.2201,136.6903,0,津波計
ＤＯＮＥＴD15津波計,33.2331,136.5631,0,津波計
ＤＯＮＥＴE19津波計,33.4459,136.2564,0,津波計
ＤＯＮＥＴE20津波計,33.5444,136.3325,0,津波計
ＤＯＮＥＴC10津波計,33.0533,136.9335,0,津波計
ＤＯＮＥＴC11津波計,33.0033,136.779,0,津波計
ＤＯＮＥＴC12津波計,33.1279,136.8188,0,津波計
ＤＯＮＥＴ2 A1津波計,33.4085,134.7449,0,津波計
ＤＯＮＥＴ2 A2津波計,33.3393,134.8641,0,津波計
ＤＯＮＥＴ2 A3津波計,33.249,134.7691,0,津波計
ＤＯＮＥＴ2 A4津波計,33.3205,134.6724,0,津波計
ＤＯＮＥＴ2 B5津波計,33.3222,135.0667,0,津波計
ＤＯＮＥＴ2 B6津波計,33.2252,135.1698,0,津波計
ＤＯＮＥＴ2 B7津波計,33.1755,135.0964,0,津波計
ＤＯＮＥＴ2 B8津波計,33.275,134.9869,0,津波計
ＤＯＮＥＴ2 C9津波計,33.228,135.4585,0,津波計
ＤＯＮＥＴ2 C10津波計,33.1251,135.5249,0,津波計
ＤＯＮＥＴ2 C11津波計,33.0837,135.4121,0,津波計
ＤＯＮＥＴ2 C12津波計,33.1752,135.3414,0,津波計
ＤＯＮＥＴ2D13津波計,33.1594,135.7557,0,津波計
ＤＯＮＥＴ2D14津波計,33.1359,135.8584,0,津波計
ＤＯＮＥＴ2D15津波計,33.142,135.9586,0,津波計
ＤＯＮＥＴ2D16津波計,33.0299,135.8401,0,津波計
ＤＯＮＥＴ2D17津波計,33.0915,135.7144,0,津波計
ＤＯＮＥＴ2E18津波計,32.927,135.7747,0,津波計
ＤＯＮＥＴ2E19津波計,32.892,135.8336,0,津波計
ＤＯＮＥＴ2E20津波計,32.8017,135.7733,0,津波計
ＤＯＮＥＴ2E21津波計,32.8603,135.667,0,津波計
ＤＯＮＥＴ2F22津波計,32.988,135.225,0,津波計
ＤＯＮＥＴ2F23津波計,32.8827,135.3082,0,津波計
ＤＯＮＥＴ2F24津波計,32.8545,135.1916,0,津波計
ＤＯＮＥＴ2F25津波計,32.8919,135.1538,0,津波計
ＤＯＮＥＴ2G26津波計,32.7615,134.5167,0,津波計
ＤＯＮＥＴ2G27津波計,32.7089,134.5996,0,津波計
ＤＯＮＥＴ2G28津波計,32.6251,134.5164,0,津波計
ＤＯＮＥＴ2G29津波計,32.6752,134.4334,0,津波計
ＤＯＮＥＴ1C21津波計,32.9506,136.7417,0,津波計
ＤＯＮＥＴ1E22津波計,33.3303,136.2702,0,津波計
S-net S1N01津波計,35.8968,141.0535,0,津波計
S-net S1N02津波計,35.8424,141.3772,0,津波計
S-net S1N03津波計,35.7203,141.6451,0,津波計
S-net S1N04津波計,35.6036,141.9041,0,津波計
S-net S1N05津波計,35.4047,142.0531,0,津波計
S-net S1N06津波計,35.2277,141.8692,0,津波計
S-net S1N07津波計,35.2773,141.5902,0,津波計
S-net S1N08津波計,35.4536,141.3898,0,津波計
S-net S1N09津波計,35.227,141.3068,0,津波計
S-net S1N10津波計,35.0925,141.2021,0,津波計
